ï»¿Events_id,Stores,campaign_id,Start_date,End_date,Products,Category,base_price,promo_type,Before_promo,After_promo,incremental_revenue,incremental_sold_units,incremental_sold_units_percentage,incremental_revenue_percentage
141aea,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,111,493,389393.50,382,344.14,343.93
1a1a02,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,465,2064,590598.00,1599,343.87,343.27
c16abb,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,42,186,171267.00,144,342.86,342.67
7cf0d8,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,"Home Appliances",1020,BOGOF,79,349,275225.50,270,341.77,341.56
0894b7,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,46,203,186728.50,157,341.30,341.12
716abd,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,238,218841.00,184,340.74,340.56
fe94ae,Mysuru,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,450,1984,566588.00,1534,340.89,340.29
cfa879,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",350,BOGOF,114,502,135549.00,388,340.35,339.72
5c2d1f,Coimbatore,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,304,1340,206530.00,1036,340.79,339.69
ace471,Madurai,Sankranti,10-01-2024,16-01-2024,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",370,BOGOF,273,1201,342759.50,928,339.93,339.33
29411f,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,69,303,278308.50,234,339.13,338.95
141d98,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,387,1695,260752.50,1308,337.98,336.89
284539,Chennai,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,384,1678,257961.00,1294,336.98,335.89
620715,Mysuru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,340,1485,228257.50,1145,336.76,335.67
68c31e,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,"Home Care",1190,BOGOF,54,235,215272.50,181,335.19,335.00
699bac,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,"Home Care",300,BOGOF,42,183,42208.50,141,335.71,334.99
0c9f61,Bengaluru,Sankranti,10-01-2024,16-01-2024,"Atliq_Suflower_Oil (1L)","Grocery & Staples",200,BOGOF,433,1883,289058.50,1450,334.87,333.79
