Events_id,Cities,campaign_id,Start_date,End_date,Products,Category,base_price,Promotions,offers,promo_type,quantity_sold_before_promo,quantity_sold_after_promo,No_USe,Reveneu_before_promo,Reveneu_after_promo,IR,ISU,store_id
7f650b,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,34,52,52,6460,4940,-1520,18,STCBE-2
a21f91,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,393,322,322,61308,37674,-23634,-71,STBLR-8
78bc80,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,22,170,85,6600,25500,18900,148,STVJD-0
a1503f,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,329,1000,1000,987000,2500000,1513000,671,STCBE-1
1091cf,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,108,93,93,5940,3836.25,-2103.75,-15,STBLR-6
8.02E+96,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,91,116,116,17290,11020,-6270,25,STBLR-4
73d86f,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,31,26,26,1550,975,-575,-5,STVSK-2
fe3560,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,73,490,245,25550,85750,60200,417,STHYD-4
6b2afc,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,30,158,79,35700,94010,58310,128,STCBE-4
ce5851,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,318,2530,1265,63600,253000,189400,2212,STMDU-2
dd6685,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,78,70,70,32370,21787.5,-10582.5,-8,STMYS-2
8f25a6,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,126,302,302,378000,755000,377000,176,STHYD-6
5c3c33,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,154,207,207,9548,6417,-3131,53,STCHE-6
d290a1,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,343,270,270,99470,58725,-40745,-73,STBLR-3
635862,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,348,480,480,299280,276576,-22704,132,STVSK-4
c0ecb5,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,43,334,167,12900,50100,37200,291,STCHE-2
182caa,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,39,33,33,16185,10271.25,-5913.75,-6,STCHE-5
c4db5b,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,164,236,236,28208,27196.64,-1011.36,72,STTRV-0
94f48c,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,22,16,16,9130,4980,-4150,-6,STVSK-1
7ef92f,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,55,426,213,16500,63900,47400,371,STHYD-5
0f422c,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,42,336,168,42840,171360,128520,294,STBLR-0
1e9a06,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,84,676,338,29400,118300,88900,592,STCHE-4
02ebe9,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,66,88,88,12540,8360,-4180,22,STBLR-8
260ff2,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,204,291,291,35088,33534.84,-1553.16,87,STMYS-2
7fc923,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,19,148,74,22610,88060,65450,129,STTRV-0
b08c12,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,227,202,202,35412,23634,-11778,-25,STMDU-3
ca7298,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,85,228,228,255000,570000,315000,143,STCBE-2
bf33ae,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,59,364,182,60180,185640,125460,305,STMYS-0
35fb5b,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,50,380,190,17500,66500,49000,330,STCBE-2
def6ff,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,70,89,89,13300,8455,-4845,19,STMDU-0
2f3e5d,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,333,402,402,57276,46326.48,-10949.52,69,STCHE-2
ca3893,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,52,39,39,4680,2632.5,-2047.5,-13,STMYS-1
922e6a,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,34,24,24,1870,990,-880,-10,STBLR-8
4f0587,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,33,272,136,39270,161840,122570,239,STMDU-0
fa5b45,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,27,218,109,32130,129710,97580,191,STVJD-1
df45ee,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,309,534,534,53148,61538.16,8390.16,225,STHYD-3
f3ac85,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,348,2700,1350,69600,270000,200400,2352,STBLR-5
292ca5,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,287,220,220,83230,47850,-35380,-67,STHYD-2
620715,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,340,2970,1485,68000,297000,229000,2630,STMYS-3
7e9777,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,24,164,82,28560,97580,69020,140,STVJD-1
761785,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,121,948,474,123420,483480,360060,827,STBLR-4
eb3bea,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,109,238,238,327000,595000,268000,129,STVSK-2
276150,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,33,256,128,9900,38400,28500,223,STCBE-3
3beb46,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,81,416,208,28350,72800,44450,335,STMYS-2
47af00,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,183,150,150,28548,17550,-10998,-33,STVJD-1
627200,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,36,222,111,36720,113220,76500,186,STCBE-4
bc8315,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,122,135,135,7564,4185,-3379,13,STHYD-1
1f083a,Vijayawada,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,16,14,14,6640,4357.5,-2282.5,-2,STVJD-0
c1e0b6,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,273,379,379,46956,43675.96,-3280.04,106,STCHE-6
f60d93,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,78,75,75,4290,3093.75,-1196.25,-3,STCBE-0
a10402,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,295,436,436,253700,251223.2,-2476.8,141,STVSK-2
741bef,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,114,574,287,39900,100450,60550,460,STMYS-0
